Pays,Annee,Categorie de vehicules,Polluant,emission facteur,Unite
FR,2000,CAR,carb_MJ,"10,674",[MJ/Vehkm]
FR,2000,CAR,CO,"2,43",[g/Vehkm]
FR,2000,CAR,CO2(rep),"793,141",[g/Vehkm]
FR,2000,CAR,HC,"0,829",[g/Vehkm]
FR,2000,CAR,mcarb,"254,463",[g/Vehkm]
FR,2000,CAR,NOx,"10,34",[g/Vehkm]
FR,2000,CAR,PM,"0,405",[g/Vehkm]
FR,2000,LBus,carb_MJ,"14,167",[MJ/Vehkm]
FR,2000,LBus,CO,"4,272",[g/Vehkm]
FR,2000,LBus,CO2(rep),"1044,668",[g/Vehkm]
FR,2000,LBus,HC,"1,536",[g/Vehkm]
FR,2000,LBus,mcarb,"336,395",[g/Vehkm]
FR,2000,LBus,NOx,"13,493",[g/Vehkm]
FR,2000,LBus,PM,"0,617",[g/Vehkm]
FR,2000,MC,carb_MJ,"1,469",[MJ/Vehkm]
FR,2000,MC,CO,"10,657",[g/Vehkm]
FR,2000,MC,CO2(rep),"106,829",[g/Vehkm]
FR,2000,MC,HC,"2,645",[g/Vehkm]
FR,2000,MC,mcarb,"33,482",[g/Vehkm]
FR,2000,MC,NOx,"0,18",[g/Vehkm]
FR,2000,MC,PM,"0,089",[g/Vehkm]
FR,2000,PLM,carb_MJ,"12,081",[MJ/Vehkm]
FR,2000,PLM,CO,"2,409",[g/Vehkm]
FR,2000,PLM,CO2(rep),"897,665",[g/Vehkm]
FR,2000,PLM,HC,"0,738",[g/Vehkm]
FR,2000,PLM,mcarb,"287,997",[g/Vehkm]
FR,2000,PLM,NOx,"10,361",[g/Vehkm]
FR,2000,PLM,PM,"0,371",[g/Vehkm]
FR,2000,VL,carb_MJ,"3,603",[MJ/Vehkm]
FR,2000,VL,CO,"3,214",[g/Vehkm]
FR,2000,VL,CO2(rep),"267,228",[g/Vehkm]
FR,2000,VL,HC,"0,369",[g/Vehkm]
FR,2000,VL,mcarb,"85,648",[g/Vehkm]
FR,2000,VL,NOx,"1,317",[g/Vehkm]
FR,2000,VL,PM,"0,215",[g/Vehkm]
FR,2000,VT,carb_MJ,"2,708",[MJ/Vehkm]
FR,2000,VT,CO,"5,79",[g/Vehkm]
FR,2000,VT,CO2(rep),"198,767",[g/Vehkm]
FR,2000,VT,HC,"1,129",[g/Vehkm]
FR,2000,VT,mcarb,"63,042",[g/Vehkm]
FR,2000,VT,NOx,"0,906",[g/Vehkm]
FR,2000,VT,PM,"0,054",[g/Vehkm]
FR,2005,CAR,carb_MJ,"10,479",[MJ/Vehkm]
FR,2005,CAR,CO,"2,178",[g/Vehkm]
FR,2005,CAR,CO2(rep),"773,261",[g/Vehkm]
FR,2005,CAR,HC,"0,628",[g/Vehkm]
FR,2005,CAR,mcarb,"249,872",[g/Vehkm]
FR,2005,CAR,NOx,"8,835",[g/Vehkm]
FR,2005,CAR,PM,"0,293",[g/Vehkm]
FR,2005,LBus,carb_MJ,"14,187",[MJ/Vehkm]
FR,2005,LBus,CO,"3,334",[g/Vehkm]
FR,2005,LBus,CO2(rep),"1016,736",[g/Vehkm]
